"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013876","33.56556","-86.745","187.5","2000-01-01","0.00","0.0","0.0","60","64","56","0.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-02","0.00","0.0","0.0","65","72","58","0.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-03","0.42","0.0","0.0","68","72","64","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-04","0.86","0.0","0.0","52","67","36","0.0",,,"    1",,,,,,,,,,"    1",,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-05","0.00","0.0","0.0","39","49","29","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-06","0.00","0.0","0.0","41","54","28","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-07","0.00","0.0","0.0","43","58","28","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-08","0.14","0.0","0.0","47","59","35","0.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-09","0.82","0.0","0.0","60","65","55","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-10","0.46","0.0","0.0","56","64","47","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-11","0.00","0.0","0.0","55","69","40","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-12","0.00","0.0","0.0","55","66","44","0.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-13","0.04","0.0","0.0","52","66","37","0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-14","0.00","0.0","0.0","38","50","25","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-15","0.00","0.0","0.0","45","61","28","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-16","0.13","0.0","0.0","54","63","45","0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-17","0.29","0.0","0.0","55","56","53","0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-18","0.00","0.0","0.0","52","62","42","0.0","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-19","0.15","0.0","0.0","45","50","40","0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-20","0.00","0.0","0.0","38","50","26","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-21","0.00","0.0","0.0","31","41","21","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-22","0.85","0.0","0.0","35","42","28","0.0","    1",,,"    1",,,,"    1",,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-23","0.69","0.0","0.0","39","41","37","0.0","    1",,"    1",,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-24","0.00","0.0","0.0","34","42","25","0.0","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-25","0.00","0.0","0.0","30","39","20","0.0",,,,,,,,,,,,,,,,,"    1",,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-26","0.00","0.0","0.0","26","34","18","0.0",,,,,,,,,,,,,,,,,"    1",,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-27","0.02","0.0","0.0","32","45","18","0.0","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00013876","33.56556","-86.745","187.5","2000-01-28","0.39","3.0","3.0","33","37","28","0.0","    1",,,"    1",,"    1",,,,,,"    1","    1",,"    1","    1","    1",,,,
