State,State Code,County,Deaths,Population,Crude Rate per 100000,Age Adjusted Rate,% of Total Deaths
Alabama,1,"Baldwin County, AL",18,3102984,0.58,0.486,0.05%
Alabama,1,"Calhoun County, AL",12,2073654,0.579,0.528,0.04%
Alabama,1,"Coffee County, AL",10,856929,1.167,1.12,0.03%
Alabama,1,"Cullman County, AL",10,1430571,0.699,0.682,0.03%
Alabama,1,"Jefferson County, AL",61,11848682,0.515,0.47,0.18%
Alabama,1,"Lauderdale County, AL",14,1631805,0.858,0.717,0.04%
Alabama,1,"Madison County, AL",40,5711502,0.7,0.715,0.12%
Alabama,1,"Marshall County, AL",11,1606785,0.685,0.614,0.03%
Alabama,1,"Mobile County, AL",33,7320274,0.451,0.447,0.10%
Alabama,1,"Montgomery County, AL",14,4068324,0.344,0.356,0.04%
Alabama,1,"Shelby County, AL",12,3250668,0.369,0.452,0.04%
Alabama,1,"Tuscaloosa County, AL",11,3332133,0.33,0.37,0.03%
Alaska,2,"Anchorage Borough, AK",21,5086614,0.413,0.705,0.06%
Arizona,4,"Apache County, AZ",23,1264681,1.819,2.273,0.07%
Arizona,4,"Cochise County, AZ",27,2262328,1.193,1.052,0.08%
Arizona,4,"Coconino County, AZ",16,2329635,0.687,0.908,0.05%
Arizona,4,"Gila County, AZ",19,945259,2.01,1.4,0.06%
Arizona,4,"Graham County, AZ",11,636987,1.727,1.842,0.03%
Arizona,4,"Maricopa County, AZ",331,65854171,0.503,0.507,0.96%
Arizona,4,"Mohave County, AZ",32,3390447,0.944,0.752,0.09%
Arizona,4,"Navajo County, AZ",18,1883708,0.956,1.008,0.05%
Arizona,4,"Pima County, AZ",89,16938659,0.525,0.456,0.26%
Arizona,4,"Pinal County, AZ",19,5405461,0.351,0.354,0.06%
Arizona,4,"Yavapai County, AZ",29,3596131,0.806,0.495,0.08%
Arizona,4,"Yuma County, AZ",23,3334475,0.69,0.737,0.07%
Arkansas,5,"Benton County, AR",22,3666675,0.6,0.607,0.06%
Arkansas,5,"Craighead County, AR",11,1668390,0.659,0.673,0.03%
Arkansas,5,"Crawford County, AR",12,1060979,1.131,1.152,0.04%
Arkansas,5,"Greene County, AR",13,735568,1.767,1.672,0.04%
Arkansas,5,"Hot Spring County, AR",10,579106,1.727,1.501,0.03%
