,REGION TYPE,REGION,TOTAL SPECIMENS,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v,TOTAL A,TOTAL B,date,Confirmed_Infections
0,States,Alabama,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
1,States,Alaska,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
2,States,Arizona,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
3,States,Arkansas,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
4,States,California,183.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,2010-10-08,6.0
5,States,Colorado,126.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
6,States,Connecticut,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
7,States,Delaware,75.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2010-10-08,3.0
8,States,District of Columbia,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
10,States,Georgia,209.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2010-10-08,2.0
11,States,Hawaii,83.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,9.0,0.0,2010-10-08,9.0
13,States,Illinois,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
14,States,Indiana,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
15,States,Iowa,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
17,States,Kentucky,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
18,States,Louisiana,121.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2010-10-08,4.0
20,States,Maryland,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
21,States,Massachusetts,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
23,States,Minnesota,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
24,States,Mississippi,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
25,States,Missouri,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
26,States,Montana,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
27,States,Nebraska,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
29,States,New Hampshire,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
32,States,New York,300.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2010-10-08,3.0
34,States,North Dakota,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
