Category: All categories

Time,influenza: (Worldwide)
2020-01-31T13:12:00-08:00,88
2020-01-31T13:20:00-08:00,100
2020-01-31T13:28:00-08:00,90
2020-01-31T13:36:00-08:00,87
2020-01-31T13:44:00-08:00,83
2020-01-31T13:52:00-08:00,82
2020-01-31T14:00:00-08:00,86
2020-01-31T14:08:00-08:00,92
2020-01-31T14:16:00-08:00,84
2020-01-31T14:24:00-08:00,89
2020-01-31T14:32:00-08:00,81
2020-01-31T14:40:00-08:00,82
2020-01-31T14:48:00-08:00,86
2020-01-31T14:56:00-08:00,81
2020-01-31T15:04:00-08:00,85
2020-01-31T15:12:00-08:00,87
2020-01-31T15:20:00-08:00,78
2020-01-31T15:28:00-08:00,86
2020-01-31T15:36:00-08:00,91
2020-01-31T15:44:00-08:00,85
2020-01-31T15:52:00-08:00,80
2020-01-31T16:00:00-08:00,85
2020-01-31T16:08:00-08:00,85
2020-01-31T16:16:00-08:00,82
2020-01-31T16:24:00-08:00,84
2020-01-31T16:32:00-08:00,83
2020-01-31T16:40:00-08:00,68
2020-01-31T16:48:00-08:00,73
2020-01-31T16:56:00-08:00,79
2020-01-31T17:04:00-08:00,76
2020-01-31T17:12:00-08:00,76
2020-01-31T17:20:00-08:00,75
2020-01-31T17:28:00-08:00,75
2020-01-31T17:36:00-08:00,77
2020-01-31T17:44:00-08:00,68
2020-01-31T17:52:00-08:00,77
2020-01-31T18:00:00-08:00,70
2020-01-31T18:08:00-08:00,76
2020-01-31T18:16:00-08:00,69
2020-01-31T18:24:00-08:00,71
2020-01-31T18:32:00-08:00,69
2020-01-31T18:40:00-08:00,67
2020-01-31T18:48:00-08:00,65
2020-01-31T18:56:00-08:00,63
2020-01-31T19:04:00-08:00,68
2020-01-31T19:12:00-08:00,70
2020-01-31T19:20:00-08:00,66
2020-01-31T19:28:00-08:00,66
2020-01-31T19:36:00-08:00,64
2020-01-31T19:44:00-08:00,64
2020-01-31T19:52:00-08:00,70
2020-01-31T20:00:00-08:00,67
2020-01-31T20:08:00-08:00,66
2020-01-31T20:16:00-08:00,66
2020-01-31T20:24:00-08:00,64
2020-01-31T20:32:00-08:00,59
2020-01-31T20:40:00-08:00,59
2020-01-31T20:48:00-08:00,56
2020-01-31T20:56:00-08:00,60
2020-01-31T21:04:00-08:00,62
2020-01-31T21:12:00-08:00,56
