Category: All categories

Month,influenza: (United States),Movie theater near me: (United States)
2004-01,26,0
2004-02,26,0
2004-03,18,<1
2004-04,14,0
2004-05,12,0
2004-06,6,0
2004-07,6,0
2004-08,7,0
2004-09,13,0
2004-10,35,<1
2004-11,25,0
2004-12,19,0
2005-01,25,0
2005-02,38,0
2005-03,22,<1
2005-04,19,0
2005-05,12,0
2005-06,9,0
2005-07,8,<1
2005-08,9,0
2005-09,16,0
2005-10,38,<1
2005-11,35,<1
2005-12,24,<1
2006-01,25,0
2006-02,28,0
2006-03,30,0
2006-04,23,0
2006-05,19,<1
2006-06,13,<1
2006-07,9,<1
2006-08,9,<1
2006-09,13,<1
2006-10,21,0
2006-11,19,<1
2006-12,18,0
2007-01,19,<1
2007-02,28,<1
2007-03,20,<1
2007-04,14,<1
2007-05,12,<1
2007-06,8,<1
2007-07,6,<1
2007-08,8,0
2007-09,12,<1
2007-10,19,<1
2007-11,19,0
2007-12,15,0
2008-01,19,<1
2008-02,42,0
2008-03,28,<1
2008-04,17,0
2008-05,10,<1
2008-06,8,<1
2008-07,6,<1
2008-08,6,<1
2008-09,12,<1
2008-10,17,<1
2008-11,16,<1
2008-12,13,<1
2009-01,15,<1
2009-02,24,<1
2009-03,25,<1
2009-04,100,<1
2009-05,66,0
2009-06,29,<1
2009-07,23,<1
2009-08,27,<1
2009-09,41,<1
2009-10,54,<1
2009-11,35,<1
2009-12,16,<1
2010-01,13,<1
2010-02,12,<1
2010-03,13,<1
2010-04,13,<1
2010-05,10,<1
2010-06,8,<1
2010-07,6,<1
2010-08,7,<1
2010-09,12,<1
2010-10,15,<1
2010-11,14,<1
2010-12,12,<1
2011-01,18,<1
2011-02,27,<1
2011-03,18,<1
2011-04,11,<1
2011-05,8,<1
2011-06,6,<1
2011-07,5,<1
2011-08,6,<1
2011-09,11,<1
2011-10,12,<1
2011-11,12,<1
2011-12,9,<1
2012-01,10,<1
2012-02,15,<1
2012-03,17,1
2012-04,12,1
2012-05,9,1
2012-06,6,2
2012-07,5,2
2012-08,7,1
2012-09,10,1
2012-10,13,1
2012-11,13,1
2012-12,25,1
2013-01,49,1
2013-02,22,1
2013-03,15,1
2013-04,12,1
2013-05,8,2
2013-06,5,3
2013-07,5,5
2013-08,6,3
2013-09,12,4
2013-10,15,4
2013-11,13,6
2013-12,19,3
2014-01,32,2
2014-02,19,3
2014-03,12,5
2014-04,13,5
2014-05,10,4
2014-06,6,5
2014-07,5,9
2014-08,7,8
2014-09,12,4
2014-10,20,5
2014-11,15,10
2014-12,39,12
2015-01,38,9
2015-02,22,6
2015-03,19,5
2015-04,18,6
2015-05,11,11
2015-06,7,14
2015-07,6,11
2015-08,6,12
2015-09,12,15
2015-10,15,13
2015-11,13,9
2015-12,13,11
2016-01,13,14
2016-02,24,25
2016-03,30,23
2016-04,18,13
2016-05,10,14
2016-06,6,29
2016-07,5,45
2016-08,6,27
2016-09,10,14
2016-10,12,15
2016-11,11,18
2016-12,15,39
2017-01,28,39
2017-02,44,26
2017-03,30,29
2017-04,18,23
2017-05,10,32
2017-06,8,52
2017-07,6,32
2017-08,7,23
2017-09,12,25
2017-10,14,28
2017-11,15,25
2017-12,32,30
2018-01,85,30
2018-02,75,55
2018-03,31,41
2018-04,19,27
2018-05,10,24
2018-06,6,38
2018-07,5,36
2018-08,7,26
2018-09,13,25
2018-10,17,27
2018-11,15,30
2018-12,20,27
2019-01,33,23
2019-02,45,24
2019-03,45,30
2019-04,21,45
2019-05,11,44
2019-06,7,58
2019-07,6,61
2019-08,7,45
2019-09,12,39
2019-10,17,38
2019-11,18,46
2019-12,40,49
2020-01,70,41
