"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-01","0.00",,,"52","62","42","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-02","0.00",,,"61","68","53","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-03","1.69",,,"67","72","61","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-04","0.00",,"0.0","47","63","31","    1",,,,,,,,,,,"    1","    1",,"    1",,"    1",,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-05","0.00",,,"33","38","27",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-06","0.00",,,"38","52","24","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-07","0.00",,,"40","53","26",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-08","0.01",,,"38","48","28",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-09","0.90",,,"53","62","43","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-10","0.00",,,"56","62","50",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-11","0.00",,,"50","62","38",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-12","0.00",,,"47","63","30","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-13","0.19",,,"47","63","30","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-14","0.00",,,"32","40","24",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-15","0.00",,,"41","58","24",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-16","0.04",,,"50","56","43","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-17","0.03",,,"43","52","34","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-18","0.12",,,"43","52","34","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-19","0.05",,,"40","47","32","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-20","0.00",,"0.0","32","44","20",,,,,,,,,,,,,,,,,"    1",,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-21","0.00",,,"25","33","16",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-22","0.15","3.4","0.0","31","34","27","    1","    1",,,,"    1",,"    1",,,,"    1","    1","    1","    1",,"    1",,,"    1",
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-23","0.00","0.0","2.0","34","36","32","    1","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-24","0.00","0.0","1.0","26","33","18",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-25","0.00",,"0.0","20","27","13",,,,,,,,,,,,,,,,,"    1",,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-26","0.00","0.0","0.0","24","31","16",,,,,,,,,,,,,,,,,"    1",,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-27","0.00",,,"23","31","14",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-28","0.00",,,"30","38","22",,,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-29","0.32",,,"35","38","32","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2000-01-30","0.02",,"0.0","31","35","27","    1",,,,,,,"    1",,,,"    1","    1",,"    1",,"    1",,,,
