,date,avgTemp,state,station
0,2000-01-01,11.1,AL,GHCND:USC00012813
1,2000-01-02,12.8,AL,GHCND:USC00012813
2,2000-01-03,16.1,AL,GHCND:USC00012813
3,2000-01-04,13.9,AL,GHCND:USC00012813
4,2000-01-05,0.0,AL,GHCND:USC00012813
5,2000-01-06,0.0,AL,GHCND:USC00012813
6,2000-01-07,1.7,AL,GHCND:USC00012813
7,2000-01-08,3.3,AL,GHCND:USC00012813
8,2000-01-09,7.8,AL,GHCND:USC00012813
9,2000-01-10,15.0,AL,GHCND:USC00012813
10,2000-01-11,10.0,AL,GHCND:USC00012813
11,2000-01-12,11.7,AL,GHCND:USC00012813
12,2000-01-13,13.9,AL,GHCND:USC00012813
13,2000-01-14,4.4,AL,GHCND:USC00012813
14,2000-01-15,2.8,AL,GHCND:USC00012813
15,2000-01-16,3.9,AL,GHCND:USC00012813
16,2000-01-17,7.2,AL,GHCND:USC00012813
17,2000-01-18,12.8,AL,GHCND:USC00012813
18,2000-01-19,15.0,AL,GHCND:USC00012813
19,2000-01-20,11.1,AL,GHCND:USC00012813
20,2000-01-21,-1.1,AL,GHCND:USC00012813
21,2000-01-22,-1.1,AL,GHCND:USC00012813
22,2000-01-23,7.2,AL,GHCND:USC00012813
23,2000-01-24,5.0,AL,GHCND:USC00012813
24,2000-01-25,-1.1,AL,GHCND:USC00012813
25,2000-01-26,-3.3,AL,GHCND:USC00012813
26,2000-01-27,-3.3,AL,GHCND:USC00012813
27,2000-01-28,0.0,AL,GHCND:USC00012813
28,2000-01-29,3.3,AL,GHCND:USC00012813
29,2000-01-30,5.0,AL,GHCND:USC00012813
30,2000-01-31,-0.6,AL,GHCND:USC00012813
31,2000-02-01,-1.1,AL,GHCND:USC00012813
32,2000-02-02,2.8,AL,GHCND:USC00012813
33,2000-02-03,0.6,AL,GHCND:USC00012813
34,2000-02-04,1.7,AL,GHCND:USC00012813
35,2000-02-05,-1.1,AL,GHCND:USC00012813
36,2000-02-06,-2.2,AL,GHCND:USC00012813
37,2000-02-07,-1.7,AL,GHCND:USC00012813
38,2000-02-08,0.6,AL,GHCND:USC00012813
39,2000-02-09,2.2,AL,GHCND:USC00012813
40,2000-02-10,3.9,AL,GHCND:USC00012813
41,2000-02-11,4.4,AL,GHCND:USC00012813
42,2000-02-12,15.0,AL,GHCND:USC00012813
43,2000-02-13,15.0,AL,GHCND:USC00012813
44,2000-02-14,17.8,AL,GHCND:USC00012813
45,2000-02-15,8.3,AL,GHCND:USC00012813
46,2000-02-16,8.3,AL,GHCND:USC00012813
47,2000-02-17,15.6,AL,GHCND:USC00012813
48,2000-02-18,17.8,AL,GHCND:USC00012813
49,2000-02-19,18.9,AL,GHCND:USC00012813
50,2000-02-20,2.2,AL,GHCND:USC00012813
51,2000-02-21,2.2,AL,GHCND:USC00012813
52,2000-02-22,4.4,AL,GHCND:USC00012813
53,2000-02-23,6.1,AL,GHCND:USC00012813
54,2000-02-24,12.2,AL,GHCND:USC00012813
55,2000-02-25,12.2,AL,GHCND:USC00012813
56,2000-02-26,12.8,AL,GHCND:USC00012813
57,2000-02-27,11.1,AL,GHCND:USC00012813
58,2000-02-28,7.8,AL,GHCND:USC00012813
59,2000-02-29,6.1,AL,GHCND:USC00012813
60,2000-03-01,6.7,AL,GHCND:USC00012813
61,2000-03-02,13.9,AL,GHCND:USC00012813
62,2000-03-03,12.2,AL,GHCND:USC00012813
63,2000-03-04,10.6,AL,GHCND:USC00012813
64,2000-03-05,6.7,AL,GHCND:USC00012813
65,2000-03-06,7.2,AL,GHCND:USC00012813
66,2000-03-07,8.9,AL,GHCND:USC00012813
67,2000-03-08,10.6,AL,GHCND:USC00012813
68,2000-03-09,12.2,AL,GHCND:USC00012813
69,2000-03-10,15.6,AL,GHCND:USC00012813
70,2000-03-11,15.6,AL,GHCND:USC00012813
71,2000-03-12,2.8,AL,GHCND:USC00012813
72,2000-03-13,3.3,AL,GHCND:USC00012813
73,2000-03-14,4.4,AL,GHCND:USC00012813
74,2000-03-15,6.1,AL,GHCND:USC00012813
75,2000-03-16,11.1,AL,GHCND:USC00012813
76,2000-03-17,14.4,AL,GHCND:USC00012813
77,2000-03-18,13.3,AL,GHCND:USC00012813
78,2000-03-19,15.0,AL,GHCND:USC00012813
79,2000-03-20,8.9,AL,GHCND:USC00012813
80,2000-03-21,7.2,AL,GHCND:USC00012813
81,2000-03-22,9.4,AL,GHCND:USC00012813
82,2000-03-23,12.2,AL,GHCND:USC00012813
83,2000-03-24,11.7,AL,GHCND:USC00012813
84,2000-03-25,11.1,AL,GHCND:USC00012813
85,2000-03-26,11.1,AL,GHCND:USC00012813
86,2000-03-27,15.0,AL,GHCND:USC00012813
87,2000-03-28,7.8,AL,GHCND:USC00012813
88,2000-03-29,10.6,AL,GHCND:USC00012813
89,2000-03-30,15.0,AL,GHCND:USC00012813
90,2000-04-01,14.4,AL,GHCND:USC00012813
91,2000-04-02,16.7,AL,GHCND:USC00012813
92,2000-04-03,22.2,AL,GHCND:USC00012813
93,2000-04-04,11.1,AL,GHCND:USC00012813
94,2000-04-05,3.3,AL,GHCND:USC00012813
95,2000-04-06,3.9,AL,GHCND:USC00012813
96,2000-04-07,9.4,AL,GHCND:USC00012813
97,2000-04-08,15.6,AL,GHCND:USC00012813
98,2000-04-09,2.8,AL,GHCND:USC00012813
99,2000-04-10,3.3,AL,GHCND:USC00012813
100,2000-04-11,5.0,AL,GHCND:USC00012813
101,2000-04-12,12.2,AL,GHCND:USC00012813
102,2000-04-13,13.9,AL,GHCND:USC00012813
103,2000-04-14,15.0,AL,GHCND:USC00012813
104,2000-04-15,12.8,AL,GHCND:USC00012813
105,2000-04-16,13.9,AL,GHCND:USC00012813
106,2000-04-17,16.7,AL,GHCND:USC00012813
107,2000-04-18,11.7,AL,GHCND:USC00012813
108,2000-04-19,11.7,AL,GHCND:USC00012813
109,2000-04-20,12.8,AL,GHCND:USC00012813
110,2000-04-21,10.6,AL,GHCND:USC00012813
111,2000-04-22,8.9,AL,GHCND:USC00012813
112,2000-04-23,10.6,AL,GHCND:USC00012813
113,2000-04-24,12.8,AL,GHCND:USC00012813
114,2000-04-25,12.2,AL,GHCND:USC00012813
115,2000-04-26,11.1,AL,GHCND:USC00012813
116,2000-04-27,10.6,AL,GHCND:USC00012813
117,2000-04-28,11.1,AL,GHCND:USC00012813
118,2000-04-29,10.0,AL,GHCND:USC00012813
119,2000-04-30,11.7,AL,GHCND:USC00012813
120,2000-05-01,12.8,AL,GHCND:USC00012813
121,2000-05-02,15.0,AL,GHCND:USC00012813
122,2000-05-03,16.1,AL,GHCND:USC00012813
123,2000-05-04,16.1,AL,GHCND:USC00012813
124,2000-05-05,18.3,AL,GHCND:USC00012813
125,2000-05-06,16.7,AL,GHCND:USC00012813
126,2000-05-07,16.1,AL,GHCND:USC00012813
127,2000-05-08,16.1,AL,GHCND:USC00012813
128,2000-05-09,15.6,AL,GHCND:USC00012813
129,2000-05-10,17.2,AL,GHCND:USC00012813
130,2000-05-11,22.2,AL,GHCND:USC00012813
131,2000-05-12,22.8,AL,GHCND:USC00012813
132,2000-05-13,23.3,AL,GHCND:USC00012813
133,2000-05-14,18.9,AL,GHCND:USC00012813
134,2000-05-15,15.0,AL,GHCND:USC00012813
135,2000-05-16,15.6,AL,GHCND:USC00012813
136,2000-05-17,17.2,AL,GHCND:USC00012813
137,2000-05-18,18.9,AL,GHCND:USC00012813
138,2000-05-19,21.1,AL,GHCND:USC00012813
139,2000-05-20,20.6,AL,GHCND:USC00012813
140,2000-05-21,21.1,AL,GHCND:USC00012813
141,2000-05-22,20.0,AL,GHCND:USC00012813
142,2000-05-23,21.1,AL,GHCND:USC00012813
143,2000-05-24,24.4,AL,GHCND:USC00012813
144,2000-05-25,25.6,AL,GHCND:USC00012813
145,2000-05-26,25.0,AL,GHCND:USC00012813
146,2000-05-27,25.0,AL,GHCND:USC00012813
147,2000-05-28,26.1,AL,GHCND:USC00012813
148,2000-05-29,19.4,AL,GHCND:USC00012813
149,2000-05-30,17.8,AL,GHCND:USC00012813
150,2000-05-31,19.4,AL,GHCND:USC00012813
151,2000-06-01,18.3,AL,GHCND:USC00012813
152,2000-06-02,18.9,AL,GHCND:USC00012813
153,2000-06-03,21.1,AL,GHCND:USC00012813
154,2000-06-04,22.2,AL,GHCND:USC00012813
155,2000-06-05,22.2,AL,GHCND:USC00012813
156,2000-06-06,21.7,AL,GHCND:USC00012813
157,2000-06-07,16.1,AL,GHCND:USC00012813
158,2000-06-08,15.6,AL,GHCND:USC00012813
159,2000-06-09,17.8,AL,GHCND:USC00012813
160,2000-06-10,20.0,AL,GHCND:USC00012813
161,2000-06-11,18.9,AL,GHCND:USC00012813
162,2000-06-12,20.6,AL,GHCND:USC00012813
163,2000-06-13,22.2,AL,GHCND:USC00012813
164,2000-06-14,21.1,AL,GHCND:USC00012813
165,2000-06-15,22.8,AL,GHCND:USC00012813
166,2000-06-16,22.2,AL,GHCND:USC00012813
167,2000-06-17,21.7,AL,GHCND:USC00012813
168,2000-06-18,22.2,AL,GHCND:USC00012813
169,2000-06-19,22.2,AL,GHCND:USC00012813
170,2000-06-20,22.2,AL,GHCND:USC00012813
171,2000-06-21,22.2,AL,GHCND:USC00012813
172,2000-06-22,23.9,AL,GHCND:USC00012813
173,2000-06-23,22.8,AL,GHCND:USC00012813
174,2000-06-24,22.8,AL,GHCND:USC00012813
175,2000-06-25,22.2,AL,GHCND:USC00012813
176,2000-06-26,21.1,AL,GHCND:USC00012813
177,2000-06-27,21.1,AL,GHCND:USC00012813
178,2000-06-28,21.7,AL,GHCND:USC00012813
179,2000-06-29,23.9,AL,GHCND:USC00012813
180,2000-06-30,21.7,AL,GHCND:USC00012813
181,2000-07-01,22.2,AL,GHCND:USC00012813
182,2000-07-02,22.2,AL,GHCND:USC00012813
183,2000-07-03,21.7,AL,GHCND:USC00012813
184,2000-07-04,21.1,AL,GHCND:USC00012813
185,2000-07-05,21.7,AL,GHCND:USC00012813
186,2000-07-06,22.8,AL,GHCND:USC00012813
